GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
,45935461.4,,45935461.4,,,45935461.4,,,,,,45935461.4,,,,,,,,
86803147.54,86803147.54,,,,,,,86803147.54,,,,,,,,,,,,
,9241786.554,,,,,9241786.554,,,,,,,,,9241786.554,,,,,
,,,40795514.44,,,40795514.44,,,,,,,40795514.44,,40795514.44,,,,,
,,,31161087.52,,,,,,,,,,,,31161087.52,31161087.52,,,,
188318268.2,188318268.2,,,,,,,,,,,,,,,188318268.2,,,,
,,,,8913338.29,,8913338.29,,,,,,,,8913338.29,,,,8913338.29,,
20131780.56,20131780.56,,,,,20131780.56,,,,20131780.56,,,,,20131780.56,,,,,
30436198.58,,,30436198.58,,,,,30436198.58,,,,,,,,,,,,
36474157.04,,,36474157.04,36474157.04,,36474157.04,,,,,,,,,,,,,,
146903207.5,,,,,,146903207.5,,,,146903207.5,,,,,,,,,146903207.5,
41133293.42,41133293.42,,,,,,,,,,,,,,,41133293.42,,41133293.42,,
31624665.77,,,31624665.77,31624665.77,,31624665.77,,,,,,,,,,,,31624665.77,,
39385285.82,39385285.82,,,,,,,,,,,,,,,39385285.82,,39385285.82,,
,18723887.54,18723887.54,18723887.54,,,,18723887.54,18723887.54,,,,,,,,,,,,
,,,,,,54050601.03,,,,,,,,,,,,,,
,,,,,,1155216.068,,,,,,,,,,,,,1155216.068,
,,,43433252.18,43433252.18,,,,,,,,,,,,,,,,
,,,33423619.93,,,33423619.93,,,,,,,,,33423619.93,,,,,
,,,,38767340.68,,38767340.68,,,,38767340.68,,,,38767340.68,,,,38767340.68,,
,,,,,,82772.05357,,,,,,,,,82772.05357,,,,,
15035078.51,,,15035078.51,,,,,,,,,,,,,,,15035078.51,,
,44981040.41,,,,,,44981040.41,44981040.41,,,,,,,44981040.41,,,,,
,,,,,,1574218.527,,,,,,,,1574218.527,,,,1574218.527,,
13443029,,,,,,,,,,,,,,,,13443029,,,,
193996.5264,,,,193996.5264,,193996.5264,,,,,,,,,,,,193996.5264,,
,8717395.24,,,,,,,8717395.24,,,,,,8717395.24,,,,,,
,,,7789590.31,,,,,,,,,,,,,,,,,
,,,,,,23013062.49,,,,,,,,23013062.49,,,,23013062.49,,
26050133.46,,,,,,26050133.46,,,,,,,,,,,,26050133.46,26050133.46,
4763993.447,,,,,,4763993.447,,,,,,,,,,4763993.447,,4763993.447,,
,,,,,,1160029.583,,,,,,,,,,,1160029.583,,,
